alg,family,provider,profile,header_variant,raw_sig_bytes,raw_pub_bytes,header_b64,payload_b64,sig_b64,token_bytes,bearer_header_bytes,cookie_pair_bytes,jwks_entry_bytes,fits_cookie_4096,fits_nginx_8k,fits_apache_8190,fits_apigw_10240
ML-DSA-87,PQ,BC,minimal-access,jwk,4627,2592,4759,326,6170,11257,11279,11272,3528,false,false,false,false
ML-DSA-87,PQ,BC,minimal-access,x5c,4627,2592,13394,326,6170,19892,19914,19907,3528,false,false,false,false
ML-DSA-87,PQ,BC,oidc-id-token,kid,4627,2592,68,634,6170,6874,6896,6889,3528,false,true,true,true
ML-DSA-87,PQ,BC,oidc-id-token,jwk,4627,2592,4755,634,6170,11561,11583,11576,3528,false,false,false,false
ML-DSA-87,PQ,BC,oidc-id-token,x5c,4627,2592,13390,634,6170,20196,20218,20211,3528,false,false,false,false
ML-DSA-87,PQ,BC,enterprise-access,kid,4627,2592,72,2611,6170,8855,8877,8870,3528,false,false,false,true
ML-DSA-87,PQ,BC,enterprise-access,jwk,4627,2592,4759,2611,6170,13542,13564,13557,3528,false,false,false,false
ML-DSA-87,PQ,BC,enterprise-access,x5c,4627,2592,13394,2611,6170,22177,22199,22192,3528,false,false,false,false
SLH-DSA-SHA2-128s,PQ,BC,minimal-access,kid,7856,32,83,326,10475,10886,10908,10901,123,false,false,false,false
SLH-DSA-SHA2-128s,PQ,BC,minimal-access,jwk,7856,32,230,326,10475,11033,11055,11048,123,false,false,false,false
SLH-DSA-SHA2-128s,PQ,BC,minimal-access,x5c,7856,32,14583,326,10475,25386,25408,25401,123,false,false,false,false
SLH-DSA-SHA2-128s,PQ,BC,oidc-id-token,kid,7856,32,79,634,10475,11190,11212,11205,123,false,false,false,false
SLH-DSA-SHA2-128s,PQ,BC,oidc-id-token,jwk,7856,32,226,634,10475,11337,11359,11352,123,false,false,false,false
SLH-DSA-SHA2-128s,PQ,BC,oidc-id-token,x5c,7856,32,14579,634,10475,25690,25712,25705,123,false,false,false,false
SLH-DSA-SHA2-128s,PQ,BC,enterprise-access,kid,7856,32,83,2611,10475,13171,13193,13186,123,false,false,false,false
SLH-DSA-SHA2-128s,PQ,BC,enterprise-access,jwk,7856,32,230,2611,10475,13318,13340,13333,123,false,false,false,false
SLH-DSA-SHA2-128s,PQ,BC,enterprise-access,x5c,7856,32,14583,2611,10475,27671,27693,27686,123,false,false,false,false
SLH-DSA-SHA2-128f,PQ,BC,minimal-access,kid,17088,32,83,326,22784,23195,23217,23210,123,false,false,false,false
SLH-DSA-SHA2-128f,PQ,BC,minimal-access,jwk,17088,32,230,326,22784,23342,23364,23357,123,false,false,false,false
SLH-DSA-SHA2-128f,PQ,BC,minimal-access,x5c,17088,32,30999,326,22784,54111,54133,54126,123,false,false,false,false
SLH-DSA-SHA2-128f,PQ,BC,oidc-id-token,kid,17088,32,79,634,22784,23499,23521,23514,123,false,false,false,false
SLH-DSA-SHA2-128f,PQ,BC,oidc-id-token,jwk,17088,32,226,634,22784,23646,23668,23661,123,false,false,false,false
SLH-DSA-SHA2-128f,PQ,BC,oidc-id-token,x5c,17088,32,30995,634,22784,54415,54437,54430,123,false,false,false,false
SLH-DSA-SHA2-128f,PQ,BC,enterprise-access,kid,17088,32,83,2611,22784,25480,25502,25495,123,false,false,false,false
SLH-DSA-SHA2-128f,PQ,BC,enterprise-access,jwk,17088,32,230,2611,22784,25627,25649,25642,123,false,false,false,false
SLH-DSA-SHA2-128f,PQ,BC,enterprise-access,x5c,17088,32,30999,2611,22784,56396,56418,56411,123,false,false,false,false
